city,station,year,month_id,date,value,annual_avg,source_url
Усолье­Сибирское,4.0,2009,1,2009-01-01,6.2,2.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Ухта,1.0,2009,1,2009-01-01,2.0,1.4,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Хабаровск,3.0,2009,1,2009-01-01,9.0,3.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Чапаевск,1.0,2009,1,2009-01-01,3.3,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Чапаевск,3.0,2009,1,2009-01-01,4.2,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Чебоксары,3.0,2009,1,2009-01-01,2.6,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Череповец,2.0,2009,1,2009-01-01,3.2,2.1,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Череповец,3.0,2009,1,2009-01-01,2.8,1.8,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Черногорск,2.0,2009,1,2009-01-01,12.0,6.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Чита,4.0,2009,1,2009-01-01,13.0,7.5,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Чита,5.0,2009,1,2009-01-01,14.0,6.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Чита,6.0,2009,1,2009-01-01,5.8,3.2,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Шахты,1.0,2009,1,2009-01-01,3.6,1.9,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Шелехов,3.0,2009,1,2009-01-01,7.2,2.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Щелково,2.0,2009,1,2009-01-01,2.0,1.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Электросталь,3.0,2009,1,2009-01-01,3.0,1.6,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Южно­Сахалинск,1.0,2009,1,2009-01-01,7.0,4.7,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
Южно­Сахалинск,4.0,2009,1,2009-01-01,6.2,4.3,https://www.rpatyphoon.ru/upload/medialibrary/benzapiren/bp_2009.pdf
